,BTCUSDT.csv,ETHUSDT.csv,LTCUSDT.csv,XRPUSDT.csv,cash_balance,crypto_balance,revenue,total_balance,transaction_cost
2019-01-06 15:39:00,0.0,10.0,0.0,0.0,98657.67917499997,1530.975,-1.2999999999999545,100188.65417499997,0.0
2019-01-06 15:40:00,0.0,10.0,0.0,0.0,98657.67917499998,1531.3249999999998,0.3499999999999659,100189.00417499998,0.0
2019-01-06 15:41:00,0.0,10.0,0.0,0.0,98657.67917499998,1532.8,1.4750000000000796,100190.47917499999,0.0
2019-01-06 15:42:00,0.0,10.0,0.0,0.0,98657.67917499998,1532.475,-0.32499999999998863,100190.15417499999,0.0
2019-01-06 15:43:00,0.0,10.0,0.0,0.0,98657.67917499998,1532.8500000000004,0.3750000000002274,100190.52917499999,0.0
2019-01-06 15:44:00,0.0,10.0,0.0,0.0,98657.67917499998,1533.2999999999997,0.4499999999995907,100190.97917499999,0.0
2019-01-06 15:45:00,0.0,10.0,0.0,0.0,98657.67917499998,1533.1,-0.1999999999998181,100190.77917499999,0.0
2019-01-06 15:46:00,0.0,10.0,0.0,0.0,98657.67917499998,1533.5,0.3999999999999204,100191.17917499998,0.0
2019-01-06 15:47:00,0.0,10.0,0.0,0.0,98657.67917499998,1532.175,-1.3249999999999318,100189.85417499999,0.0
2019-01-06 15:48:00,0.0,10.0,0.0,0.0,98657.67917499998,1530.325,-1.8500000000000227,100188.00417499998,0.0
2019-01-06 15:49:00,0.0,10.0,0.0,0.0,98657.67917499998,1527.55,-2.775000000000034,100185.22917499999,0.0
2019-01-06 15:50:00,0.0,10.0,0.0,0.0,98657.679175,1528.525,0.9750000000002501,100186.20417499999,0.0
2019-01-06 15:51:00,0.0,10.0,0.0,0.0,98657.679175,1530.325,1.799999999999784,100188.004175,0.0
2019-01-06 15:52:00,0.0,10.0,0.0,0.0,98657.67917499998,1530.1,-0.22500000000007958,100187.77917499999,0.0
2019-01-06 15:53:00,0.0,10.0,0.0,0.0,98657.679175,1530.4499999999998,0.3499999999999659,100188.129175,0.0
2019-01-06 15:54:00,0.0,10.0,0.0,0.0,98657.679175,1530.3,-0.14999999999986358,100187.979175,0.0
2019-01-06 15:55:00,0.0,10.0,0.0,0.0,98657.679175,1530.2250000000001,-0.07499999999993179,100187.904175,0.0
2019-01-06 15:56:00,0.0,10.0,0.0,0.0,98657.679175,1529.5,-0.7250000000001933,100187.179175,0.0
2019-01-06 15:57:00,0.0,10.0,0.0,0.0,98657.679175,1528.4,-1.0999999999998522,100186.07917499999,0.0
2019-01-06 15:58:00,0.0,10.0,0.0,0.0,98657.679175,1528.375,-0.024999999999977263,100186.054175,0.0
2019-01-06 15:59:00,0.0,10.0,0.0,0.0,98657.679175,1528.325,-0.049999999999954525,100186.004175,0.0
2019-01-06 16:00:00,0.0,10.0,0.0,0.0,98657.679175,1528.175,-0.1500000000001478,100185.854175,0.0
2019-01-06 16:01:00,0.0,10.0,0.0,0.0,98657.679175,1528.35,0.17499999999984084,100186.029175,0.0
2019-01-06 16:02:00,0.0,10.0,0.0,0.0,98657.67917500001,1526.7000000000003,-1.6499999999996362,100184.37917500001,0.0
2019-01-06 16:03:00,0.0,10.0,0.0,0.0,98657.67917500001,1525.8749999999998,-0.8250000000003865,100183.55417500001,0.0
2019-01-06 16:04:00,0.0,10.0,0.0,0.0,98657.67917500001,1524.5499999999997,-1.3249999999999318,100182.22917500001,0.0
2019-01-06 16:05:00,0.0,10.0,0.0,0.0,98657.67917500001,1526.3,1.7500000000001137,100183.97917500001,0.0
2019-01-06 16:06:00,0.0,10.0,0.0,0.0,98657.67917500003,1529.275,2.9750000000001364,100186.95417500002,0.0
2019-01-06 16:07:00,0.0,10.0,0.0,0.0,98657.67917500003,1531.6250000000002,2.3500000000001364,100189.30417500003,0.0
2019-01-06 16:08:00,0.0,10.0,0.0,0.0,98657.67917500003,1531.625,-2.8421709430404007e-13,100189.30417500003,0.0
2019-01-06 16:09:00,0.0,10.0,0.0,0.0,98657.67917500003,1533.625,2.0000000000001705,100191.30417500003,0.0
2019-01-06 16:10:00,0.0,10.0,0.0,0.0,98657.67917500003,1536.6750000000002,3.050000000000068,100194.35417500003,0.0
2019-01-06 16:11:00,0.0,10.0,0.0,0.0,98657.67917500003,1537.075,0.3999999999999204,100194.75417500002,0.0
2019-01-06 16:12:00,0.0,10.0,0.0,0.0,98657.67917500003,1535.7749999999999,-1.3000000000002387,100193.45417500002,0.0
2019-01-06 16:13:00,0.0,10.0,0.0,0.0,98657.67917500003,1535.625,-0.14999999999986358,100193.30417500003,0.0
2019-01-06 16:14:00,0.0,10.0,0.0,0.0,98657.67917500003,1534.8,-0.8250000000001023,100192.47917500003,0.0
2019-01-06 16:15:00,0.0,10.0,0.0,0.0,98657.67917500003,1534.575,-0.22499999999979536,100192.25417500002,0.0
2019-01-06 16:16:00,0.0,10.0,0.0,0.0,98657.67917500003,1534.8749999999998,0.29999999999972715,100192.55417500003,0.0
2019-01-06 16:17:00,0.0,10.0,0.0,0.0,98657.67917500003,1535.1000000000001,0.2250000000003638,100192.77917500003,0.0
2019-01-06 16:18:00,0.0,10.0,0.0,0.0,98657.67917500004,1534.95,-0.1500000000001478,100192.62917500004,0.0
2019-01-06 16:19:00,0.0,10.0,0.0,0.0,98657.67917500004,1534.675,-0.2750000000000341,100192.35417500004,0.0
2019-01-06 16:20:00,0.0,10.0,0.0,0.0,98657.67917500004,1536.1000000000001,1.425000000000125,100193.77917500005,0.0
2019-01-06 16:21:00,0.0,10.0,0.0,0.0,98657.67917500004,1536.25,0.14999999999986358,100193.92917500004,0.0
2019-01-06 16:22:00,0.0,10.0,0.0,0.0,98657.67917500004,1535.1250000000002,-1.1249999999998295,100192.80417500004,0.0
2019-01-06 16:23:00,0.0,10.0,0.0,0.0,98657.67917500004,1535.675,0.549999999999784,100193.35417500004,0.0
2019-01-06 16:24:00,0.0,10.0,0.0,0.0,98657.67917500004,1535.725,0.049999999999954525,100193.40417500005,0.0
2019-01-06 16:25:00,0.0,10.0,0.0,0.0,98657.67917500006,1534.4499999999998,-1.2749999999999773,100192.12917500005,0.0
2019-01-06 16:26:00,0.0,10.0,0.0,0.0,98657.67917500006,1533.65,-0.7999999999998408,100191.32917500005,0.0
2019-01-06 16:27:00,0.0,10.0,0.0,0.0,98657.67917500006,1532.9999999999998,-0.6500000000002615,100190.67917500006,0.0
2019-01-06 16:28:00,0.0,10.0,0.0,0.0,98657.67917500006,1533.175,0.17500000000012506,100190.85417500006,0.0
2019-01-06 16:29:00,0.0,10.0,0.0,0.0,98657.67917500006,1533.9750000000001,0.8000000000001251,100191.65417500006,0.0
2019-01-06 16:30:00,0.0,10.0,0.0,0.0,98657.67917500006,1535.675,1.699999999999875,100193.35417500006,0.0
2019-01-06 16:31:00,0.0,10.0,0.0,0.0,98657.67917500006,1536.9500000000003,1.2750000000002615,100194.62917500005,0.0
2019-01-06 16:32:00,0.0,10.0,0.0,0.0,98657.67917500006,1535.95,-1.0000000000002274,100193.62917500005,0.0
2019-01-06 16:33:00,0.0,10.0,0.0,0.0,98657.67917500006,1535.025,-0.9250000000000114,100192.70417500005,0.0
2019-01-06 16:34:00,0.0,10.0,0.0,0.0,98657.67917500004,1533.6000000000001,-1.4249999999998408,100191.27917500005,0.0
2019-01-06 16:35:00,0.0,10.0,0.0,0.0,98657.67917500004,1532.4999999999998,-1.1000000000004206,100190.17917500004,0.0
2019-01-06 16:36:00,0.0,10.0,0.0,0.0,98657.67917500004,1530.95,-1.5499999999997272,100188.62917500004,0.0
2019-01-06 16:37:00,0.0,10.0,0.0,0.0,98657.67917500004,1530.575,-0.37499999999994316,100188.25417500004,0.0
2019-01-06 16:38:00,0.0,10.0,0.0,0.0,98657.67917500004,1531.0000000000002,0.4250000000001819,100188.67917500004,0.0
2019-01-06 16:39:00,0.0,10.0,0.0,0.0,98657.67917500004,1530.75,-0.25000000000034106,100188.42917500004,0.0
2019-01-06 16:40:00,0.0,10.0,0.0,0.0,98657.67917500004,1530.4999999999998,-0.25000000000005684,100188.17917500004,0.0
2019-01-06 16:41:00,0.0,10.0,0.0,0.0,98657.67917500004,1530.1000000000001,-0.3999999999996362,100187.77917500005,0.0
2019-01-06 16:42:00,0.0,10.0,0.0,0.0,98657.67917500004,1529.8000000000002,-0.30000000000001137,100187.47917500004,0.0
2019-01-06 16:43:00,0.0,10.0,0.0,0.0,98657.67917500004,1530.875,1.074999999999875,100188.55417500004,0.0
2019-01-06 16:44:00,0.0,10.0,0.0,0.0,98657.67917500004,1532.2,1.3249999999999318,100189.87917500004,0.0
2019-01-06 16:45:00,0.0,10.0,0.0,0.0,98657.67917500004,1531.8000000000002,-0.3999999999999204,100189.47917500004,0.0
2019-01-06 16:46:00,0.0,10.0,0.0,0.0,98657.67917500004,1531.6250000000002,-0.17499999999984084,100189.30417500004,0.0
2019-01-06 16:47:00,0.0,10.0,0.0,0.0,98657.67917500004,1532.35,0.7249999999996248,100190.02917500005,0.0
2019-01-06 16:48:00,0.0,10.0,0.0,0.0,98657.67917500004,1532.7499999999998,0.3999999999999204,100190.42917500004,0.0
2019-01-06 16:49:00,0.0,10.0,0.0,0.0,98657.67917500004,1532.525,-0.22499999999979536,100190.20417500004,0.0
