ID,Gender,Population,Geographic.origin,Geographic.area,region,distance,latitude,longtitude
HGDP00899,F,Russian,Russia,Russia,Europe,6066.983867,61,40
HGDP01043,M,Pima,Mexico,Central America,America,18015.789,29,-108
HGDP01055,M,Pima,Mexico,Central America,America,18015.789,29,-108
HGDP00859,F,Maya,Mexico,Central America,America,19825.71383,19,-91
HGDP00871,F,Maya,Mexico,Central America,America,19825.71383,19,-91
HGDP00705,M,Colombian,Colombia,South America,America,22857.10218,3,-68
HGDP01398,F,Adygei,Russia Caucasus,Russia,Europe,4155.030463,44,39
HGDP00883,M,Russian,Russia,Russia,Europe,6066.983867,61,40
HGDP00895,M,Russian,Russia,Russia,Europe,6066.983867,61,40
HGDP01039,M,Pima,Mexico,Central America,America,18015.789,29,-108
HGDP01051,F,Pima,Mexico,Central America,America,18015.789,29,-108
HGDP00855,F,Maya,Mexico,Central America,America,19825.71383,19,-91
HGDP00867,F,Maya,Mexico,Central America,America,19825.71383,19,-91
HGDP01403,M,Adygei,Russia Caucasus,Russia,Europe,4155.030463,44,39
HGDP00888,M,Russian,Russia,Russia,Europe,6066.983867,61,40
HGDP00900,M,Russian,Russia,Russia,Europe,6066.983867,61,40
HGDP01044,F,Pima,Mexico,Central America,America,18015.789,29,-108
HGDP01056,F,Pima,Mexico,Central America,America,18015.789,29,-108
HGDP00860,F,Maya,Mexico,Central America,America,19825.71383,19,-91
HGDP00872,F,Maya,Mexico,Central America,America,19825.71383,19,-91
HGDP00706,F,Colombian,Colombia,South America,America,22857.10218,3,-68
HGDP00901,F,Russian,Russia,Russia,Europe,6066.983867,61,40
HGDP01045,M,Pima,Mexico,Central America,America,18015.789,29,-108
HGDP01057,M,Pima,Mexico,Central America,America,18015.789,29,-108
HGDP00861,F,Maya,Mexico,Central America,America,19825.71383,19,-91
HGDP00873,F,Maya,Mexico,Central America,America,19825.71383,19,-91
HGDP00707,F,Colombian,Colombia,South America,America,22857.10218,3,-68
HGDP01404,M,Adygei,Russia Caucasus,Russia,Europe,4155.030463,44,39
HGDP00889,F,Russian,Russia,Russia,Europe,6066.983867,61,40
HGDP01151,M,North Italian,Italy (Bergamo),Southern Europe,Europe,5249.040337,46,10
HGDP01330,M,She,China,China,East Asia,10817.81249,27,119
HGDP00528,M,French,France,Southern Europe,Europe,5857.478333,46,2
HGDP00719,F,Cambodian,Cambodia,Southeast Asia,East Asia,10260.54741,12,105
HGDP01161,M,Tuscan,Italy,Southern Europe,Europe,5118.374166,43,11
HGDP00828,M,Japanese,Japan,Japan,East Asia,11762.10792,38,138
HGDP00965,M,Yakut,Siberia,Russia,East Asia,9919.809481,63,129.5
HGDP00516,F,French,France,Southern Europe,Europe,5857.478333,46,2
HGDP01365,F,French Basque,France,Southern Europe,Europe,6012.260603,43,0
HGDP00766,M,Japanese,Japan,Japan,East Asia,11762.10792,38,138
HGDP00657,F,NAN Melanesian,Bougainville,Southern Europe,Oceania,16168.51405,-6,155
HGDP01354,F,Tu,China,China,East Asia,8868.138507,36,101
HGDP00798,M,Orcadian,Orkney Islands,Northern Europe,Europe,6636.685091,59,-3
HGDP01342,M,Naxi,China,China,East Asia,9131.367263,26,100
HGDP00824,M,NAN Melanesian,Bougainville,Southern Europe,Oceania,16168.51405,-6,155
HGDP01319,M,Lahu,China,China,East Asia,9299.626366,22,100
HGDP01357,M,French Basque,France,Southern Europe,Europe,6012.260603,43,0
HGDP00549,M,Papuan,New Guinea,New Guinea,Oceania,14843.12266,-4,143
HGDP00953,M,Yakut,Siberia,Russia,East Asia,9919.809481,63,129.5
HGDP01070,F,Sardinian,Italy,Southern Europe,Europe,5305.809561,40,9
HGDP01376,M,French Basque,France,Southern Europe,Europe,6012.260603,43,0
HGDP00671,M,Sardinian,Italy,Southern Europe,Europe,5305.809561,40,9
HGDP01024,F,Han,China,China,East Asia,10133.39558,32.3,114
