,V1,V2,ID,Gender,Population,Geographic.origin,Geographic.area,region,distance,latitude,longtitude
HGDP00463,-117243.46781291,-99237.1221493151,HGDP00463,M,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
HGDP00904,-110729.9883463,-85680.6366160942,HGDP00904,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
HGDP00916,-108212.55373859,-80728.9259781485,HGDP00916,F,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
HGDP00920,-113415.067593355,-89022.733833011,HGDP00920,F,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
HGDP00932,-112200.064956845,-87877.3550275567,HGDP00932,M,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
HGDP00942,-111991.706652703,-87845.8511168572,HGDP00942,M,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
HGDP01415,-98570.6171207136,-69237.4210014361,HGDP01415,M,Bantu,Kenya,Central Africa,Africa,2730.422,-3,37
HGDP00993,-112988.478967094,-89740.7131523697,HGDP00993,M,Bantu,South Africa,South Africa,Africa,2730.422,-3,37
HGDP01256,-50467.0768168868,25853.8912251947,HGDP01256,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
HGDP01268,-49050.9633493122,26496.389453658,HGDP01268,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
HGDP01280,-48732.1753480356,28899.3305539816,HGDP01280,F,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
HGDP00616,-31536.8619178645,49593.3757840681,HGDP00616,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00628,-31533.4363897392,43680.0551250448,HGDP00628,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00639,-33883.3068713966,44795.7250675934,HGDP00639,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00650,-32222.9052271722,49012.2402518395,HGDP00650,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00562,-26549.823355998,54867.7732349253,HGDP00562,M,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00574,-26689.8321258777,55863.7367513911,HGDP00574,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00586,-27452.1000064946,53424.5161414559,HGDP00586,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00600,-24950.4158591722,55852.2435561793,HGDP00600,M,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00680,-35259.3855599575,41202.9738884883,HGDP00680,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
HGDP00692,-41516.0631198839,31171.5550411977,HGDP00692,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
HGDP00933,-112601.258260471,-88166.2439483936,HGDP00933,F,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
HGDP00470,-117962.102915197,-98781.5638473799,HGDP00470,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP00457,-119515.511532102,-98943.5612504697,HGDP00457,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP01088,-119570.833684649,-99038.1939500544,HGDP01088,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP00467,-117800.86666641,-99653.1328721997,HGDP00467,M,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
HGDP00905,-110363.342675459,-83592.3796059558,HGDP00905,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
HGDP00917,-109074.216489374,-83142.3744716721,HGDP00917,F,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
HGDP00921,-113029.709951618,-87865.4295243222,HGDP00921,F,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
HGDP00943,-111915.081777737,-86176.9937233091,HGDP00943,M,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
HGDP01416,-101582.230794328,-68540.0043260999,HGDP01416,M,Bantu,Kenya,Central Africa,Africa,2730.422,-3,37
HGDP00994,-113282.799699218,-88883.9214334545,HGDP00994,M,Bantu,South Africa,South Africa,Africa,2730.422,-3,37
HGDP01257,-52510.3427870948,22280.3556623427,HGDP01257,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
HGDP01269,-48309.2608850626,25750.7016994357,HGDP01269,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
HGDP01281,-47183.4333493575,28508.9236137494,HGDP01281,F,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
HGDP00617,-35431.9428118803,42645.0082967735,HGDP00617,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00629,-32429.0850398358,40930.400435089,HGDP00629,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00640,-39332.9700826552,35902.0642164216,HGDP00640,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00651,-32940.9187974843,47116.7466893427,HGDP00651,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00563,-27703.2051704383,53355.8351029821,HGDP00563,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00575,-26865.6349485252,56643.5324899065,HGDP00575,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00587,-25703.4528954753,54031.4788500232,HGDP00587,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00601,-28110.6183520074,56388.3132862683,HGDP00601,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00681,-31091.9624531465,47284.1306209625,HGDP00681,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
HGDP00693,-30496.6390983504,48377.6877445587,HGDP00693,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
HGDP00473,-118548.873191136,-98523.7159428287,HGDP00473,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP00459,-118311.942764137,-96521.4887409397,HGDP00459,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP01090,-118006.115167469,-97324.7673609476,HGDP01090,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP00471,-117893.264953911,-100515.068647218,HGDP00471,F,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
HGDP00907,-111341.139884263,-84003.2975949082,HGDP00907,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
HGDP00919,-110692.818227744,-85203.8829214647,HGDP00919,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
HGDP00923,-112987.378880951,-87755.0719126359,HGDP00923,M,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
HGDP00935,-113111.100533411,-87141.484596339,HGDP00935,F,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
HGDP01418,-109241.170415318,-82720.5054843408,HGDP01418,M,Bantu,Kenya,Central Africa,Africa,2730.422,-3,37
HGDP01034,-111845.120404013,-86972.3528083865,HGDP01034,M,Bantu,South Africa,South Africa,Africa,2730.422,-3,37
HGDP01259,-48187.0481010437,23869.2683102362,HGDP01259,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
HGDP01271,-81577.6244465637,-29444.6502136966,HGDP01271,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
HGDP00607,-34430.9126962574,44669.5122409945,HGDP00607,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00619,-35212.3976655118,45671.2557724561,HGDP00619,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00631,-34011.0783315868,49157.6005457731,HGDP00631,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00642,-33303.1893362197,46733.9571918499,HGDP00642,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00653,-31374.1829304528,48568.4411717686,HGDP00653,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00565,-27830.3863659243,54528.1861818532,HGDP00565,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00577,-25073.2831800234,53358.6185326735,HGDP00577,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00603,-27949.779022382,53729.3240910565,HGDP00603,M,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00683,-31213.8993198642,45600.8371496964,HGDP00683,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
HGDP00695,-32504.5607298648,48781.2238462386,HGDP00695,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
HGDP00472,-117995.384790359,-97110.4466434033,HGDP00472,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP00458,-117683.248791685,-98058.1366866108,HGDP00458,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP01089,-119085.975343629,-98280.6764267502,HGDP01089,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP00468,-118610.310517044,-99954.592608518,HGDP00468,M,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
HGDP00906,-109468.391154931,-83614.0886327261,HGDP00906,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
HGDP00918,-108026.082645084,-79093.2038857409,HGDP00918,F,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
HGDP00922,-114333.411296518,-88160.6738189,HGDP00922,F,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
HGDP00934,-112012.871310523,-86729.0760176811,HGDP00934,F,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
HGDP00641,-34331.0672948324,48586.4005066307,HGDP00641,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00564,-27279.1076944884,55986.1486945103,HGDP00564,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00576,-30701.3773606482,49297.5447120228,HGDP00576,M,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00588,-26859.7066685347,55949.2753489335,HGDP00588,M,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00602,-26182.9756816802,55229.7536964545,HGDP00602,M,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00682,-30110.352309285,46749.1541158218,HGDP00682,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
HGDP00694,-32195.2090259058,49728.886744297,HGDP00694,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
HGDP00725,-29958.8161935242,47864.2624355341,HGDP00725,M,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
HGDP00736,-30237.8529546006,47686.518874267,HGDP00736,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
HGDP00001,-13556.9339778645,39048.943736622,HGDP00001,M,Brahui,Pakistan,Pakistan,Central/South Asia,5842.077841,30.5,66.5
HGDP00025,-12789.065888232,42006.8563747176,HGDP00025,M,Brahui,Pakistan,Pakistan,Central/South Asia,5842.077841,30.5,66.5
HGDP00049,-14884.7321106541,40053.6827417952,HGDP00049,M,Brahui,Pakistan,Pakistan,Central/South Asia,5842.077841,30.5,66.5
HGDP00072,-13395.7665936219,40363.0537894933,HGDP00072,M,Balochi,Pakistan,Pakistan,Central/South Asia,5842.077841,30.5,66.5
HGDP00096,-11728.3250344801,37930.9712254334,HGDP00096,M,Balochi,Pakistan,Pakistan,Central/South Asia,5842.077841,30.5,66.5
HGDP00475,-118957.685442109,-97646.6375136217,HGDP00475,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP00460,-118025.052234128,-97140.5318277474,HGDP00460,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP01091,-117975.837113417,-97344.062243103,HGDP01091,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
