,V1,V2,ID,Gender,Population,Geographic.origin,Geographic.area,region,distance,latitude,longtitude
HGDP00730,-65.2028686731508,83.4022674147388,HGDP00730,M,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
HGDP00742,-65.7756428644877,81.615231769731,HGDP00742,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
HGDP00013,-71.6619076564265,11.2247949504701,HGDP00013,M,Brahui,Pakistan,Pakistan,Central/South Asia,5842.077841,30.5,66.5
HGDP00037,-33.6940584187436,74.0953513268505,HGDP00037,M,Brahui,Pakistan,Pakistan,Central/South Asia,5842.077841,30.5,66.5
HGDP00060,-53.2788093452606,43.3725427917627,HGDP00060,M,Balochi,Pakistan,Pakistan,Central/South Asia,5842.077841,30.5,66.5
HGDP00084,-28.3462623159219,74.8015534602703,HGDP00084,M,Balochi,Pakistan,Pakistan,Central/South Asia,5842.077841,30.5,66.5
HGDP00104,23.4248723466696,31.3766719816857,HGDP00104,M,Hazara,Pakistan,Pakistan,Central/South Asia,6132.580278,33.5,70
HGDP00464,-197.723078121624,-200.812554219755,HGDP00464,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP01084,-200.323132396347,-200.601957320973,HGDP01084,F,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP00450,-198.537082415359,-201.216707609671,HGDP00450,M,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
HGDP00984,-197.821043908666,-202.331393923406,HGDP00984,M,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
HGDP00913,-182.220665670546,-172.242691383674,HGDP00913,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
HGDP01284,-182.191173776408,-173.383388556176,HGDP01284,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
HGDP00929,-182.096446584244,-175.64337874856,HGDP00929,M,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
HGDP00939,-184.195386491683,-174.311334843,HGDP00939,F,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
HGDP01412,-176.896990476121,-168.439290111544,HGDP01412,M,Bantu,Kenya,Central Africa,Africa,2730.422,-3,37
HGDP01029,-193.170703436364,-191.777488257094,HGDP01029,M,San ,Namidia,Central Africa,Africa,3872.417228,-21,20
HGDP01253,-92.3205387561212,41.6818200030411,HGDP01253,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
HGDP01265,-91.2106550119599,41.9613628108114,HGDP01265,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
HGDP01277,-91.9889985329893,38.0398332243332,HGDP01277,F,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
HGDP00613,-65.712045890631,73.9569079243145,HGDP00613,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00636,-71.4807361194599,81.9364007393553,HGDP00636,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00647,-66.2693934185683,73.6379877608346,HGDP00647,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
